triplet_id,variant_type,input_hinglish,llama_translation,reference_en
131,emphasis_shift,noise kar raha room ka fan,The fan in the room is making a lot of noise.,The room fan is making noise
132,base,bathroom ka geyser warm nahi ho raha,The bathroom's geyser is not getting warm.,Bathroom geyser is not getting warm
132,topic_fronting,geyser warm nahi ho raha bathroom ka,The geyser is not getting warm in the bathroom.,Bathroom geyser is not getting warm
132,emphasis_shift,warm nahi ho raha bathroom ka geyser,The bathroom geyser is not working.,Bathroom geyser is not getting warm
133,base,washing machine ka timer set karo,Set the timer on the washing machine.,you have a washing machine with a timer set
133,topic_fronting,timer set karo washing machine ka,Set the timer for the washing machine.,you have a washing machine with a timer set
133,emphasis_shift,set karo washing machine ka timer,Set the washing machine's timer.,you have a washing machine with a timer set
134,base,balcony ka door properly band karo,Close the balcony door properly.,ballo
134,topic_fronting,door properly band karo balcony ka,Make sure the door is properly locked to the balcony.,ballo
134,emphasis_shift,band karo balcony ka door properly,Close the balcony door properly.,ballo
135,base,gas cylinder ka refill book kar do,Please refill the gas cylinder.,gas cylinder ka refill book kar do
135,topic_fronting,refill book kar do gas cylinder ka,Please refill the gas cylinder.,gas cylinder ka refill book kar do
135,emphasis_shift,book kar do gas cylinder ka refill,Please arrange for a refill of the gas cylinder.,gas cylinder ka refill book kar do
136,base,clock ka alarm disable kar dena,Disable the alarm on the clock.,Disable clock alarm
136,topic_fronting,alarm disable kar dena clock ka,Disable the alarm on the clock.,Disable clock alarm
136,emphasis_shift,disable kar dena clock ka alarm,Disable the clock's alarm.,Disable clock alarm
137,base,bed ka sheet wash karna reh gaya,The bed sheet was left to be washed.,B.Ed's sheets are left to wash
137,topic_fronting,sheet wash karna reh gaya bed ka,The bed sheets needed to be washed.,B.Ed's sheets are left to wash
137,emphasis_shift,wash karna reh gaya bed ka sheet,The bed sheet got left unwashed.,B.Ed's sheets are left to wash
138,base,doorbell ka sound low lag raha,The doorbell's sound is low.,doorbell ka sound low lag raha
138,topic_fronting,sound low lag raha doorbell ka,The doorbell's sound is low.,doorbell ka sound low lag raha
138,emphasis_shift,low lag raha doorbell ka sound,The doorbell's sound is quite low.,doorbell ka sound low lag raha
139,base,sofa ka cushion replace karna padega,The sofa's cushion needs to be replaced.,sofa cushions need to be replaced
139,topic_fronting,cushion replace karna padega sofa ka,The sofa's cushion will need to be replaced.,sofa cushions need to be replaced
139,emphasis_shift,replace karna padega sofa ka cushion,The sofa's cushion will have to be replaced.,sofa cushions need to be replaced
140,base,table ka leg loose ho gaya,The table's leg has become loose.,table with a loose leg to grind
140,topic_fronting,leg loose ho gaya table ka,The table leg has come loose.,table with a loose leg to grind
140,emphasis_shift,loose ho gaya table ka leg,The table's leg has come loose.,table with a loose leg to grind
141,base,app ka login error baar baar aa raha,The app's login is consistently showing an error.,App login error keeps coming again and again
141,topic_fronting,login error baar baar aa raha app ka,The app is consistently showing a login error.,App login error keeps coming again and again
141,emphasis_shift,baar baar aa raha app ka login error,You're getting a login error again and again.,App login error keeps coming again and again
142,base,phone ka camera focus nahi kar raha,The phone's camera is not focusing.,phone camera not focusing
142,topic_fronting,camera focus nahi kar raha phone ka,The camera on my phone is not focusing.,phone camera not focusing
142,emphasis_shift,focus nahi kar raha phone ka camera,The phone's camera is not focusing.,phone camera not focusing
143,base,system ka update automatically install hua,The system's update was installed automatically.,system ka update automatically install hua
143,topic_fronting,update automatically install hua system ka,The system will automatically install the updates.,system ka update automatically install hua
143,emphasis_shift,automatically install hua system ka update,The system will automatically install its update.,system ka update automatically install hua
144,base,email ka spam filter strict ho gaya,The email's spam filter has become very strict.,Email spam filter becomes stricter
144,topic_fronting,spam filter strict ho gaya email ka,The spam filter has become too strict for emails.,Email spam filter becomes stricter
144,emphasis_shift,strict ho gaya email ka spam filter,The email's spam filter has become strict.,Email spam filter becomes stricter
145,base,browser ka cache clear kar do,Clear the browser's cache.,clear browser cache
145,topic_fronting,cache clear kar do browser ka,Clear the browser's cache.,clear browser cache
145,emphasis_shift,clear kar do browser ka cache,Clear the browser's cache.,clear browser cache
146,base,phone ka screen protector crack ho gaya,The phone's screen protector has cracked.,The phone's screen protector is cracked
146,topic_fronting,screen protector crack ho gaya phone ka,The screen protector cracked and the phone is damaged.,The phone's screen protector is cracked
146,emphasis_shift,crack ho gaya phone ka screen protector,The screen protector of my phone got cracked.,The phone's screen protector is cracked
147,base,notification ka sound customize karna hai,We need to customize the notification sound.,Want to customize notification sound?
147,topic_fronting,sound customize karna hai notification ka,Customizing the sound for notifications.,Want to customize notification sound?
147,emphasis_shift,customize karna hai notification ka sound,I need to customize the notification sound.,Want to customize notification sound?
148,base,video call ka audio delay ho raha,The audio is delayed in the video call.,Audio of video call is getting delayed
148,topic_fronting,audio delay ho raha video call ka,There is an audio delay in the video call.,Audio of video call is getting delayed
148,emphasis_shift,delay ho raha video call ka audio,The audio of the video call is getting delayed.,Audio of video call is getting delayed
149,base,cloud ka backup incomplete dikh raha,The cloud backup is showing as incomplete.,Cloud backup appears incomplete
149,topic_fronting,backup incomplete dikh raha cloud ka,The cloud backup appears to be incomplete.,Cloud backup appears incomplete
149,emphasis_shift,incomplete dikh raha cloud ka backup,"It looks incomplete, the cloud backup.",Cloud backup appears incomplete
150,base,server ka response time slow hai,The server's response time is slow.,server ka response time slow hai
150,topic_fronting,response time slow hai server ka,The server's response time is slow.,server ka response time slow hai
150,emphasis_shift,slow hai server ka response time,The server's response time is slow.,server ka response time slow hai
151,base,doctor ka advice follow karna zaroori,Following the doctor's advice is essential.,It is important to follow doctor's advice
151,topic_fronting,advice follow karna zaroori doctor ka,Following the doctor's advice is necessary.,It is important to follow doctor's advice
151,emphasis_shift,follow karna zaroori doctor ka advice,Following the doctor's advice is necessary.,It is important to follow doctor's advice
152,base,medicine ka side effect notice hua,I noticed a side effect of the medicine.,medicine ka side effect notice hua
152,topic_fronting,side effect notice hua medicine ka,A notice about the side effects of the medicine.,medicine ka side effect notice hua
152,emphasis_shift,notice hua medicine ka side effect,I noticed the side effect of the medicine.,medicine ka side effect notice hua
153,base,blood test ka report normal aaya,The blood test report came out normal.,Blood test report came back normal
153,topic_fronting,report normal aaya blood test ka,The blood test report is normal.,Blood test report came back normal
153,emphasis_shift,normal aaya blood test ka report,I received the normal report of the blood test.,Blood test report came back normal
154,base,clinic ka waiting area crowded tha,The clinic's waiting area was very crowded.,clinic ka waiting area crowded tha
154,topic_fronting,waiting area crowded tha clinic ka,The waiting area was very crowded at the clinic.,clinic ka waiting area crowded tha
154,emphasis_shift,crowded tha clinic ka waiting area,The waiting area of the clinic was very crowded.,clinic ka waiting area crowded tha
155,base,injection ka pain thoda zyada laga,The pain from the injection is a bit more.,the amount of injection was a little too much
155,topic_fronting,pain thoda zyada laga injection ka,The pain is a bit more after the injection.,the amount of injection was a little too much
155,emphasis_shift,zyada laga injection ka pain thoda,The pain from the injection is a bit too much.,the amount of injection was a little too much
156,base,diet ka chart strictly follow karo,Follow the diet chart strictly.,diet ka chart strictly follow karo
156,topic_fronting,chart strictly follow karo diet ka,Follow the diet chart strictly.,diet ka chart strictly follow karo
156,emphasis_shift,follow karo diet ka chart strictly,Follow the diet chart strictly.,diet ka chart strictly follow karo
157,base,hospital ka emergency ward full hai,The hospital's emergency ward is fully occupied.,hospital ka emergency ward full hai
157,topic_fronting,emergency ward full hai hospital ka,The hospital's emergency ward is full.,hospital ka emergency ward full hai
157,emphasis_shift,full hai hospital ka emergency ward,The hospital's emergency ward is full.,hospital ka emergency ward full hai
158,base,tablet ka dosage change hua,The dosage of the tablet has been changed.,dosage of tablet changed
158,topic_fronting,dosage change hua tablet ka,The dosage of the tablet has been changed.,dosage of tablet changed
158,emphasis_shift,change hua tablet ka dosage,The tablet dosage has been changed.,dosage of tablet changed
159,base,physiotherapy ka session cancel hua,The physiotherapy session was cancelled.,physiotherapy ka session cancel hua
159,topic_fronting,session cancel hua physiotherapy ka,The physiotherapy session has been cancelled.,physiotherapy ka session cancel hua
159,emphasis_shift,cancel hua physiotherapy ka session,The physiotherapy session has been cancelled.,physiotherapy ka session cancel hua
160,base,vaccination ka slot reschedule karna,Reschedule the vaccination slot.,vaccination ka slot reschedule karna
160,topic_fronting,slot reschedule karna vaccination ka,Reschedule the vaccination slot.,vaccination ka slot reschedule karna
160,emphasis_shift,reschedule karna vaccination ka slot,Reschedule the vaccination appointment.,vaccination ka slot reschedule karna
161,base,office ka access card gum ho gaya,I lost my office access card.,office access card lost
161,topic_fronting,access card gum ho gaya office ka,My access card got stuck at the office.,office access card lost
161,emphasis_shift,gum ho gaya office ka access card,My office access card is lost.,office access card lost
162,base,team ka performance review acha raha,The team's performance review went well.,team ka performance review acha raha
162,topic_fronting,performance review acha raha team ka,The team's performance review went well.,team ka performance review acha raha
162,emphasis_shift,acha raha team ka performance review,The team's performance review went well.,team ka performance review acha raha
163,base,client ka call late aaya,The client's call came late.,Client's call came late
163,topic_fronting,call late aaya client ka,The client called late.,Client's call came late
163,emphasis_shift,late aaya client ka call,The client's call came late.,Client's call came late
164,base,proposal ka budget revise karna hoga,The budget of the proposal will have to be revised.,The budget of the proposal will have to be revised
164,topic_fronting,budget revise karna hoga proposal ka,The budget will have to be revised according to the proposal.,The budget of the proposal will have to be revised
164,emphasis_shift,revise karna hoga proposal ka budget,The budget of the proposal will have to be revised.,The budget of the proposal will have to be revised
165,base,deadline ka pressure zyada ho raha,The deadline is becoming too much pressure.,Deadline pressure is increasing
165,topic_fronting,pressure zyada ho raha deadline ka,The deadline is becoming too much pressure.,Deadline pressure is increasing
165,emphasis_shift,zyada ho raha deadline ka pressure,The deadline pressure is becoming too much.,Deadline pressure is increasing
166,base,office ka internet unstable lag raha,The office internet is unstable.,office ka internet unstable lag raha
166,topic_fronting,internet unstable lag raha office ka,The internet is unstable and lagging at the office.,office ka internet unstable lag raha
166,emphasis_shift,unstable lag raha office ka internet,The office internet connection is unstable.,office ka internet unstable lag raha
167,base,report ka format client ko pasand aaya,The report's format pleased the client.,The client liked the format of the report
167,topic_fronting,format client ko pasand aaya report ka,The report format pleased the client.,The client liked the format of the report
167,emphasis_shift,pasand aaya report ka format client ko,The client liked the report's format.,The client liked the format of the report
168,base,meeting ka minutes circulate kar dena,Circulate the meeting minutes.,meeting ka minutes circulate kar dena
168,topic_fronting,minutes circulate kar dena meeting ka,The minutes of the meeting need to be circulated.,meeting ka minutes circulate kar dena
168,emphasis_shift,circulate kar dena meeting ka minutes,To circulate the minutes of the meeting.,meeting ka minutes circulate kar dena
169,base,presentation ka rehearsal ek baar aur karte,Let's rehearse the presentation one more time.,Rehearse the presentation one more time
169,topic_fronting,rehearsal ek baar aur karte presentation ka,Let's do a rehearsal one more time before the presentation.,Rehearse the presentation one more time
169,emphasis_shift,ek baar aur karte presentation ka rehearsal,Let's do another rehearsal for the presentation.,Rehearse the presentation one more time
170,base,team ka standup meeting skip ho gaya,The team's standup meeting was skipped.,The team's breast-doop meeting was skipped.
170,topic_fronting,standup meeting skip ho gaya team ka,The team's standup meeting got skipped.,The team's breast-doop meeting was skipped.
170,emphasis_shift,skip ho gaya team ka standup meeting,The team's standup meeting got skipped.,The team's breast-doop meeting was skipped.
171,base,party ka venue confirm ho gaya,The party venue has been confirmed.,Party venue confirmed
171,topic_fronting,venue confirm ho gaya party ka,The venue for the party has been confirmed.,Party venue confirmed
171,emphasis_shift,confirm ho gaya party ka venue,The party venue has been confirmed.,Party venue confirmed
172,base,group ka plan last moment pe change hua,The group's plan was changed at the last moment.,Group the Plan Less Message Pense
172,topic_fronting,plan last moment pe change hua group ka,The plan was changed at the last moment for the group.,Group the Plan Less Message Pense
172,emphasis_shift,change hua group ka plan last moment pe,The group's plan was changed at the last moment.,Group the Plan Less Message Pense
173,base,message ka reply kaafi late aaya,The message reply came very late.,The reply to the message came quite late
173,topic_fronting,reply kaafi late aaya message ka,The message came very late in reply.,The reply to the message came quite late
173,emphasis_shift,late aaya message ka reply kaafi,The message came late and the reply was quite delayed.,The reply to the message came quite late
174,base,friend ka mood off lag raha,Your friend's mood seems to be off.,Friend's mood seems off
174,topic_fronting,mood off lag raha friend ka,Your friend is in a bad mood.,Friend's mood seems off
174,emphasis_shift,off lag raha friend ka mood,Your friend's mood is off.,Friend's mood seems off
175,base,call ka response thoda cold tha,The call's response was a bit cold.,The response to the call was a bit cold
175,topic_fronting,response thoda cold tha call ka,The response was a bit cold to the call.,The response to the call was a bit cold
175,emphasis_shift,cold tha call ka response thoda,The call was cold and the response was a bit slow.,The response to the call was a bit cold
176,base,chat ka screenshot save kar lena,Save the chat screenshot.,Save chat screenshots
176,topic_fronting,screenshot save kar lena chat ka,Save the screenshot of the chat.,Save chat screenshots
176,emphasis_shift,save kar lena chat ka screenshot,Save the chat screenshot.,Save chat screenshots
177,base,event ka invitation miss ho gaya,I missed the invitation to the event.,Event invitation missed
177,topic_fronting,invitation miss ho gaya event ka,The invitation got missed for the event.,Event invitation missed
177,emphasis_shift,miss ho gaya event ka invitation,The invitation for the event has been missed.,Event invitation missed
178,base,status ka reaction kaafi funny tha,The reaction to the status was quite funny.,status ka reaction kaafi funny tha
178,topic_fronting,reaction kaafi funny tha status ka,The reaction was quite funny.,status ka reaction kaafi funny tha
178,emphasis_shift,funny tha status ka reaction kaafi,The funny status got a lot of reactions.,status ka reaction kaafi funny tha
179,base,group chat ka notification mute kar diya,The notification for the group chat has been muted.,Group chat notification muted
179,topic_fronting,notification mute kar diya group chat ka,The group chat notification has been muted.,Group chat notification muted
179,emphasis_shift,mute kar diya group chat ka notification,Turned off the notification for the group chat.,Group chat notification muted
180,base,meetup ka time last minute pe shift hua,The meeting time was shifted at the last minute.,Meetup is the Time Last Menate Peel Shirt
180,topic_fronting,time last minute pe shift hua meetup ka,The time for the meetup got shifted at the last minute.,Meetup is the Time Last Menate Peel Shirt
180,emphasis_shift,shift hua meetup ka time last minute pe,The meeting time got shifted at the last minute.,Meetup is the Time Last Menate Peel Shirt
181,base,bus ka route map outdated lag raha,The bus route map seems outdated.,bus ka route map outdated lag raha
181,topic_fronting,route map outdated lag raha bus ka,The bus route map is outdated.,bus ka route map outdated lag raha
181,emphasis_shift,outdated lag raha bus ka route map,The bus route map is outdated.,bus ka route map outdated lag raha
182,base,traffic ka signal timing change hua,The traffic signal timing has been changed.,traffic ka signal timing change hua
182,topic_fronting,signal timing change hua traffic ka,The traffic signal timing has been changed.,traffic ka signal timing change hua
182,emphasis_shift,change hua traffic ka signal timing,The timing of traffic signals has been changed.,traffic ka signal timing change hua
183,base,cab ka fare surge pe chal raha,The cab fare is surging.,cab ride on the sun
183,topic_fronting,fare surge pe chal raha cab ka,The taxi fare is surging.,cab ride on the sun
183,emphasis_shift,surge pe chal raha cab ka fare,The taxi fare is increasing rapidly.,cab ride on the sun
184,base,metro ka platform screen blank hai,The metro platform screen is blank.,metro platform screen is blank
184,topic_fronting,platform screen blank hai metro ka,The platform screen is blank for the metro.,metro platform screen is blank
184,emphasis_shift,blank hai metro ka platform screen,The metro platform screen is blank.,metro platform screen is blank
185,base,driver ka navigation galat direction dikha raha,The driver's navigation is showing the wrong direction.,Driver's navigation showing wrong direction
185,topic_fronting,navigation galat direction dikha raha driver ka,The navigation is showing the wrong direction.,Driver's navigation showing wrong direction
185,emphasis_shift,galat direction dikha raha driver ka navigation,The driver is showing a wrong direction on the navigation.,Driver's navigation showing wrong direction
186,base,road ka diversion unexpected nikla,The road diversion turned out to be unexpected.,road ka diversion unexpected nikla
186,topic_fronting,diversion unexpected nikla road ka,An unexpected diversion came on the road.,road ka diversion unexpected nikla
186,emphasis_shift,unexpected nikla road ka diversion,An unexpected diversion came up on the road.,road ka diversion unexpected nikla
187,base,parking ka slot thoda narrow hai,The parking slot is a bit narrow.,The parking slot is a bit narrow
187,topic_fronting,slot thoda narrow hai parking ka,The parking slot is a bit narrow.,The parking slot is a bit narrow
187,emphasis_shift,narrow hai parking ka slot thoda,The parking slot is a bit narrow.,The parking slot is a bit narrow
188,base,petrol pump ka card machine down hai,The card machine at the petrol pump is not working.,petrol pump ka card machine down hai
188,topic_fronting,card machine down hai petrol pump ka,The card machine at the petrol pump is not working.,petrol pump ka card machine down hai
188,emphasis_shift,down hai petrol pump ka card machine,The card machine at the petrol pump is not working.,petrol pump ka card machine down hai
189,base,bike ka engine sound unusual lag raha,The bike's engine sound is unusual.,bike and engine
189,topic_fronting,engine sound unusual lag raha bike ka,The bike's engine is making an unusual lagging sound.,bike and engine
189,emphasis_shift,unusual lag raha bike ka engine sound,There's an unusual lag in the bike's engine sound.,bike and engine
190,base,auto ka fare meter fast chal raha,The taxi meter is moving very fast.,auto fare meter running fast
190,topic_fronting,fare meter fast chal raha auto ka,The auto's fare meter is running fast.,auto fare meter running fast
190,emphasis_shift,fast chal raha auto ka fare meter,The auto's fare meter is moving very fast.,auto fare meter running fast
191,base,route ka shortcut risky lag raha,The shortcut to the route seems risky.,shortcut receipt
191,topic_fronting,shortcut risky lag raha route ka,Taking a shortcut is proving to be a risky route.,shortcut receipt
191,emphasis_shift,risky lag raha route ka shortcut,The shortcut is proving to be a risky route.,shortcut receipt
192,base,traffic police ka checkpoint aage hai,The traffic police checkpoint is ahead.,Traffic police checkpoint ahead
192,topic_fronting,checkpoint aage hai traffic police ka,The traffic police checkpoint is ahead.,Traffic police checkpoint ahead
192,emphasis_shift,aage hai traffic police ka checkpoint,There is a traffic police checkpoint ahead.,Traffic police checkpoint ahead
193,base,seat belt ka reminder beep aa raha,The seat belt reminder is beeping.,Seat belt reminder beep is coming.
193,topic_fronting,reminder beep aa raha seat belt ka,The seat belt reminder is beeping.,Seat belt reminder beep is coming.
193,emphasis_shift,beep aa raha seat belt ka reminder,The seat belt reminder is beeping.,Seat belt reminder beep is coming.
194,base,navigation ka reroute option aaya,The navigation system has a reroute option.,Reroute option for navigation came
194,topic_fronting,reroute option aaya navigation ka,A rerouting option has been provided for navigation.,Reroute option for navigation came
194,emphasis_shift,option aaya navigation ka reroute,The navigation option has been rerouted.,Reroute option for navigation came
195,base,toll plaza ka fastag scan nahi hua,The toll plaza did not scan my FASTag.,Fastag scan of toll plaza was not done
195,topic_fronting,fastag scan nahi hua toll plaza ka,The FASTag scan did not happen at the toll plaza.,Fastag scan of toll plaza was not done
195,emphasis_shift,scan nahi hua toll plaza ka fastag,The FASTag at the toll plaza has not been scanned.,Fastag scan of toll plaza was not done
196,base,route ka alternative suggest kar do,Can you suggest an alternative route.,route ka alternative suggest kar do
196,topic_fronting,alternative suggest kar do route ka,Please suggest an alternative route.,route ka alternative suggest kar do
196,emphasis_shift,suggest kar do route ka alternative,Suggest an alternative route.,route ka alternative suggest kar do
197,base,station ka exit gate left side pe hai,The exit gate of the station is on the left side.,station ka exit gate left side pe hai
197,topic_fronting,exit gate left side pe hai station ka,The exit gate is located on the left side of the station.,station ka exit gate left side pe hai
197,emphasis_shift,left side pe hai station ka exit gate,The exit gate of the station is on the left side.,station ka exit gate left side pe hai
198,base,bus ka conductor change ho gaya,The bus conductor has changed.,the bus conductor changed
198,topic_fronting,conductor change ho gaya bus ka,The bus conductor has changed.,the bus conductor changed
198,emphasis_shift,change ho gaya bus ka conductor,The bus conductor has changed.,the bus conductor changed
199,base,metro ka first coach ladies ke liye,The first coach of the metro is for ladies.,Metro's first coach for ladies
199,topic_fronting,first coach ladies ke liye metro ka,The first coach is reserved for ladies in the metro.,Metro's first coach for ladies
199,emphasis_shift,ladies ke liye metro ka first coach,Women's compartment or Ladies' coach.,Metro's first coach for ladies
200,base,journey ka overall experience smooth raha,The overall experience of the journey was smooth.,journey ka overall experience smooth raha
200,topic_fronting,overall experience smooth raha journey ka,The overall experience was a smooth journey.,journey ka overall experience smooth raha
200,emphasis_shift,smooth raha journey ka overall experience,The overall journey experience was smooth.,journey ka overall experience smooth raha
201,base,train ka arrival time late ho gaya,The train's arrival time has been delayed.,Train arrival time was late
201,topic_fronting,arrival time late ho gaya train ka,The train's arrival time was late.,Train arrival time was late
201,emphasis_shift,late ho gaya train ka arrival time,The train is late with its arrival time.,Train arrival time was late
202,base,bus ka conductor ticket check kar raha,The bus conductor is checking tickets.,bus conductor checking tickets
202,topic_fronting,conductor ticket check kar raha bus ka,The bus conductor is checking tickets.,bus conductor checking tickets
202,emphasis_shift,check kar raha bus ka conductor ticket,The bus conductor is checking tickets.,bus conductor checking tickets
203,base,platform ka announcement clear nahi sunai diya,The platform announcement was not clearly heard.,Platform announcement not heard clearly
203,topic_fronting,announcement clear nahi sunai diya platform ka,The announcement was not clearly made on the platform.,Platform announcement not heard clearly
203,emphasis_shift,clear nahi sunai diya platform ka announcement,The announcement from the platform was not clearly heard.,Platform announcement not heard clearly
204,base,seat ka number window side ka hai,The seat number is on the window side.,ban'
204,topic_fronting,number window side ka hai seat ka,The number on the window side is the seat number.,ban'
204,emphasis_shift,window side ka hai seat ka number,The seat number is on the window side.,ban'
205,base,journey ke beech me stop extra add hua,A stop was added in the middle of the journey.,Stop extra added in the middle of the journey
205,topic_fronting,stop extra add hua journey ke beech me,Stop adding extra things in the middle of the journey.,Stop extra added in the middle of the journey
205,emphasis_shift,extra add hua journey ke beech me stop,An extra person was added during the journey and we had to stop.,Stop extra added in the middle of the journey
206,base,restaurant ka order delay ho raha,The order at the restaurant is being delayed.,Restaurant order is getting delayed
206,topic_fronting,order delay ho raha restaurant ka,The order is being delayed at the restaurant.,Restaurant order is getting delayed
206,emphasis_shift,delay ho raha restaurant ka order,The restaurant's order is being delayed.,Restaurant order is getting delayed
207,base,plate ka portion thoda kam laga,The portion on the plate is a bit less.,plate ka portion thoda kam laga
207,topic_fronting,portion thoda kam laga plate ka,Put a little less portion on the plate.,plate ka portion thoda kam laga
207,emphasis_shift,kam laga plate ka portion thoda,The portion on the plate seems a bit small.,plate ka portion thoda kam laga
208,base,dish ka taste expected jaisa nahi tha,The dish's taste was not as expected.,The taste of the dish was not as expected
208,topic_fronting,taste expected jaisa nahi tha dish ka,The taste was not as expected in the dish.,The taste of the dish was not as expected
208,emphasis_shift,expected jaisa nahi tha dish ka taste,The dish's taste was not as expected.,The taste of the dish was not as expected
209,base,order ka parcel properly seal nahi tha,The order's parcel was not properly sealed.,The parcel of the order was not properly sealed
209,topic_fronting,parcel properly seal nahi tha order ka,The parcel was not properly sealed for the order.,The parcel of the order was not properly sealed
209,emphasis_shift,seal nahi tha order ka parcel properly,The seal of the parcel was not proper.,The parcel of the order was not properly sealed
210,base,menu ka item temporarily unavailable hai,The item on the menu is temporarily unavailable.,Menu item is temporarily unavailable
210,topic_fronting,item temporarily unavailable hai menu ka,The item is temporarily out of stock on the menu.,Menu item is temporarily unavailable
210,emphasis_shift,temporarily unavailable hai menu ka item,This menu item is temporarily unavailable.,Menu item is temporarily unavailable
211,base,product ka warranty card missing hai,The product's warranty card is missing.,product ka warranty card missing hai
211,topic_fronting,warranty card missing hai product ka,The product's warranty card is missing.,product ka warranty card missing hai
211,emphasis_shift,missing hai product ka warranty card,The product is missing its warranty card.,product ka warranty card missing hai
212,base,item ka exchange option available nahi,The exchange option is not available for this item.,Item exchange option not available
212,topic_fronting,exchange option available nahi item ka,The exchange option is not available for this item.,Item exchange option not available
212,emphasis_shift,available nahi item ka exchange option,The exchange option for this item is not available.,Item exchange option not available
213,base,order ka tracking link kaam nahi kar raha,The order tracking link is not working.,Order tracking link not working
213,topic_fronting,tracking link kaam nahi kar raha order ka,The tracking link is not working for the order.,Order tracking link not working
213,emphasis_shift,kaam nahi kar raha order ka tracking link,The order tracking link is not working.,Order tracking link not working
214,base,cart ka total amount change ho gaya,The total amount in the cart has been changed.,Cart total amount changed
214,topic_fronting,total amount change ho gaya cart ka,The total amount has changed for the cart.,Cart total amount changed
214,emphasis_shift,change ho gaya cart ka total amount,The cart's total amount has changed.,Cart total amount changed
215,base,offer ka validity kal expire ho raha,The offer's validity is expiring tomorrow.,offer valid until it expires
215,topic_fronting,validity kal expire ho raha offer ka,The offer's validity is expiring soon.,offer valid until it expires
215,emphasis_shift,expire ho raha offer ka validity kal,The offer is expiring tomorrow.,offer valid until it expires
216,base,meeting ka start time postpone hua,The meeting's start time has been postponed.,meeting time postpones
216,topic_fronting,start time postpone hua meeting ka,The meeting's start time has been postponed.,meeting time postpones
216,emphasis_shift,postpone hua meeting ka start time,The meeting's start time has been postponed.,meeting time postpones
217,base,task ka priority level high hai,The task has a high priority level.,The priority level of the task is high
217,topic_fronting,priority level high hai task ka,The task has a high priority level.,The priority level of the task is high
217,emphasis_shift,high hai task ka priority level,The task has a high priority level.,The priority level of the task is high
218,base,document ka version outdated lag raha,The document's version is becoming outdated.,document ka version outdated lag raha
218,topic_fronting,version outdated lag raha document ka,The document's version is outdated.,document ka version outdated lag raha
218,emphasis_shift,outdated lag raha document ka version,The document's version is outdated.,document ka version outdated lag raha
219,base,call ka audio clear nahi aa raha,The call's audio is not coming clear.,Call audio is not coming clear
219,topic_fronting,audio clear nahi aa raha call ka,The audio is not coming clear on the call.,Call audio is not coming clear
219,emphasis_shift,clear nahi aa raha call ka audio,The call's audio is not coming through clearly.,Call audio is not coming clear
220,base,discussion ka summary mail pe bhej dena,Send a summary of the discussion via email.,dissusion is complete
220,topic_fronting,summary mail pe bhej dena discussion ka,Send a summary email regarding the discussion.,dissusion is complete
220,emphasis_shift,bhej dena discussion ka summary mail pe,Send a summary of the discussion via email.,dissusion is complete
221,base,lecture ka slide deck download nahi ho raha,The lecture's slide deck is not downloading.,Lecture slide deck not downloading
221,topic_fronting,slide deck download nahi ho raha lecture ka,The slide deck is not downloading for the lecture.,Lecture slide deck not downloading
221,emphasis_shift,download nahi ho raha lecture ka slide deck,The lecture's slide deck is not downloading.,Lecture slide deck not downloading
222,base,exam ka invigilator late aaya,The invigilator of the exam was late.,Exam invigilator came late
222,topic_fronting,invigilator late aaya exam ka,The invigilator arrived late for the exam.,Exam invigilator came late
222,emphasis_shift,late aaya exam ka invigilator,The invigilator arrived late for the exam.,Exam invigilator came late
223,base,class ka attendance register missing hai,The class attendance register is missing.,class ka attendance register missing hai
223,topic_fronting,attendance register missing hai class ka,The attendance register is missing for the class.,class ka attendance register missing hai
223,emphasis_shift,missing hai class ka attendance register,The attendance register for the class is missing.,class ka attendance register missing hai
224,base,project ka demo clearly samajh aaya,I understood the project demo clearly.,Demo of the project was clearly understood
224,topic_fronting,demo clearly samajh aaya project ka,I understand the project clearly now.,Demo of the project was clearly understood
224,emphasis_shift,clearly samajh aaya project ka demo,I clearly understood the project's demo.,Demo of the project was clearly understood
225,base,seminar ka schedule last minute change hua,The seminar schedule was changed at the last minute.,seminar ka schedule last minute change hua
225,topic_fronting,schedule last minute change hua seminar ka,There was a last-minute change in the seminar's schedule.,seminar ka schedule last minute change hua
225,emphasis_shift,change hua seminar ka schedule last minute,The seminar schedule was changed at the last minute.,seminar ka schedule last minute change hua
226,base,hostel ka mess food average lag raha,The hostel's mess food seems average.,hostel ka mess food average lag raha
226,topic_fronting,mess food average lag raha hostel ka,The hostel food is average.,hostel ka mess food average lag raha
226,emphasis_shift,average lag raha hostel ka mess food,The hostel's mess food is quite average.,hostel ka mess food average lag raha
227,base,whiteboard ka marker dry ho gaya,The whiteboard marker has dried out.,whiteboard ka marker dry ho gaya
227,topic_fronting,marker dry ho gaya whiteboard ka,The marker has dried up on the whiteboard.,whiteboard ka marker dry ho gaya
227,emphasis_shift,dry ho gaya whiteboard ka marker,The whiteboard marker has dried out.,whiteboard ka marker dry ho gaya
228,base,assignment ka submission portal slow hai,The submission portal for the assignment is slow.,assignment ka submission portal slow hai
228,topic_fronting,submission portal slow hai assignment ka,The assignment submission portal is slow.,assignment ka submission portal slow hai
228,emphasis_shift,slow hai assignment ka submission portal,The submission portal is slow.,assignment ka submission portal slow hai
